Item_name,Warranty Period(Years),Screen Size,Cpu,Ram,Gpu,OpSys,Weight,Price,Label of Model,Label number,Category
Lenovo IdeaPad 320-15IAP Notebook,1,15.6,A,4,P,NO,2.2,24967,Dell Inspiron 3565 Laptop,1,Home User
Lenovo N42-20 Chromebook Notebook,2,14,A,4,P,CH,1.5,25201,Dell Inspiron 3467 Laptop,2,Home User
Acer Aspire 1 Notebook,1,14,A,4,P,WI,1.6,25511,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 110-15IBR Notebook,1,15.6,A,8,P,NO,2.2,25511,Dell Inspiron 3467 Laptop,2,Home User
Acer Chromebook 14 Notebook,1,14,A,2,P,CH,1.68,25588,Dell Inspiron 3467 Laptop,2,Home User
HP 15-rb013nv (E2-9000e/4GB/500GB/W10) Notebook,1,15.6,A,4,Q,WI,2.1,25588,Dell Inspiron 3467 Laptop,2,Home User
Asus VivoBook E201NA Netbook,0,11.6,A,4,P,WI,1.2,26364,Dell Inspiron 3467 Laptop,2,Home User
Asus X541NA (N3350/4GB/1TB/FHD/W10) Notebook,1,15.6,A,4,P,WI,2,26674,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 320-15IAP Notebook,1,15.6,A,4,P,WI,2.2,26674,Dell Inspiron 3467 Laptop,2,Home User
HP 250 G6 Notebook,1,15.6,A,4,R,NO,1.86,26751,Dell Inspiron 3467 Laptop,2,Home User
HP 15-ra044nv (N3060/4GB/500GB/W10) Notebook,1,15.6,A,4,P,WI,2.1,26906,Dell Inspiron 3467 Laptop,2,Home User
Asus VivoBook L402NA Notebook,1,14.1,A,4,P,WI,1.65,26984,Dell Inspiron 3467 Laptop,2,Home User
Acer Aspire A315-31 Notebook,3,15.6,A,4,P,WI,2.1,26984,Dell Inspiron 3467 Laptop,2,Home User
Acer Spin SP111-31 2 in 1 Convertible,1,11.6,A,4,P,WI,1.25,27061,Dell Inspiron 3467 Laptop,2,Home User
Acer Chromebook 14 Notebook,3,14,A,4,P,CH,1.68,27061,Dell Inspiron 3467 Laptop,2,Home User
Acer Swift SF114-31-P5HY Notebook,1,14,A,4,P,WI,1.6,27061,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 320-15IAP Notebook,1,15.6,A,4,P,WI,2.2,27061,Dell Inspiron 3467 Laptop,2,Home User
HP 15-bw000nv (E2-9000e/4GB/500GB/Radeon Notebook,3,15.6,A,4,Q,WI,2.1,27061,Dell Inspiron 3467 Laptop,2,Home User
Asus VivoBook X540YA-XX519T Notebook,1,15.6,A,4,Q,WI,2,27061,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 320-15AST Notebook,3,15.6,A,4,Q,WI,2.2,27061,Dell Inspiron 3467 Laptop,2,Home User
HP 15-bs018nq (i3-6006U/4GB/500GB/FHD/No Notebook,1,15.6,A,4,R,NO,2.1,27061,Dell Inspiron 3467 Laptop,2,Home User
Acer Chromebook 11 Netbook,3,11.6,A,4,P,CH,1.35,27527,Dell Inspiron 3467 Laptop,2,Home User
Acer Chromebook CB5-571-C1DZ Notebook,1,15.6,A,4,P,CH,2.2,27837,Dell Inspiron 3467 Laptop,2,Home User
Dell Inspiron 3567 Notebook,1,15.6,A,4,R,LI,2.25,27837,Dell Inspiron 3467 Laptop,2,Home User
Lenovo IdeaPad 320-15IAP Notebook,1,15.6,A,4,P,NO,2.2,27914,Dell Inspiron 3467 Laptop,2,Home User
Acer Aspire 3 Notebook,3,15.6,A,4,Q,WI,2.1,28187,Dell Inspiron 3467 Laptop,2,Home User
